MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
3298372,350000.0,2021-03-19,2910 Garland TE,80910,1566.0,6709.0,38.831964,-104.773616,NaN,NaN,North Middle School,1,NaN,0
5193835,350000.0,2021-03-19,11155 Falling Star RD,80817,2229.0,6903.0,38.6736134,-104.67688879999999,NaN,NaN,Cheyenne Mountain Junior High School,2,NaN,2
4085839,350000.0,2021-03-22,1685 Needham CT,80916,2556.0,5991.0,38.8082958,-104.736576,NaN,NaN,Eagleview Middle School,1,NaN,1
4350303,350000.0,2021-03-25,5612 Tomiche DR,80923,1152.0,9642.0,38.9116542,-104.7087343,NaN,NaN,Falcon Middle School,3,NaN,2
5805889,350000.0,2021-03-24,3714 Anemone CR,80918,1842.0,6812.0,38.895467,-104.7622805,NaN,NaN,Lewis-Palmer Middle School,2,NaN,3
1191221,350100.0,2021-03-18,5460 Del Paz DR,80918,1820.0,10600.0,38.9102718,-104.77103199999999,NaN,2,Discovery Canyon Campus Middle School,2,NaN,2
6616289,351000.0,2021-03-24,3263 Atrium PT,80906,1416.0,974.0,38.786564,-104.797212,NaN,2,Peyton Junior High School,2,NaN,2
7790865,351000.0,2021-03-22,36445 Truckton RD,80864,4448.0,1742400.0,38.7378942,-104.15209940000001,NaN,NaN,NaN,NaN,NaN,NaN
6222853,353000.0,2021-03-26,2005 Meadowbrook PW,80951,1160.0,7559.0,38.861903,-104.67392779999999,NaN,2,Eagleview Middle School,3,NaN,2
5799699,353000.0,2021-03-26,409 Blossom Field RD,80817,1816.0,6493.0,38.6869071,-104.6926512,NaN,1,West Middle School,2,NaN,1
6579350,355000.0,2021-03-19,6387 La Plata Peak DR,80923,1726.0,6050.0,38.9150722,-104.7138375,NaN,3,Discovery Canyon Campus Middle School,NaN,NaN,2
5349808,355000.0,2021-03-24,1921 Trent AV,80909,2268.0,7500.0,38.8603198,-104.7704622,NaN,4,Cheyenne Mountain Junior High School,NaN,NaN,2
5563308,355000.0,2021-03-19,1410 Shadberry CT,80915,2374.0,7200.0,38.8523372,-104.7357557,NaN,1,Sproul Junior High School,NaN,NaN,1
4770785,355000.0,2021-03-18,6384 Syre PT,80927,1527.0,3895.0,38.9254103,-104.65872519999999,NaN,3,NaN,NaN,NaN,NaN
2227441,355000.0,2021-03-08,909 Burning Bush PT,80132,1896.0,1196.0,39.078908,-104.845759,NaN,4,Skyview Middle School,NaN,NaN,4
8879057,355000.0,2021-03-26,2023 Woodsong WY,80817,1680.0,5500.0,38.7048256,-104.69602259999999,NaN,1,Cheyenne Mountain Junior High School,NaN,NaN,2
4528770,355000.0,2021-03-18,1334 N Arcadia ST,80903,968.0,5250.0,38.8528136,-104.8090632,NaN,1,Russell Middle School,NaN,NaN,3
1897040,355000.0,2021-03-22,3431 Trenary LN,80918,2028.0,1349.0,38.91493699999999,-104.762366,NaN,2,Russell Middle School,NaN,NaN,2
1524314,355000.0,2021-03-17,1511 Saratoga DR,80910,1700.0,8166.0,38.8097629,-104.7718069,NaN,3,NaN,NaN,NaN,2
3154859,355123.0,2021-03-16,8486 Dassel DR,80817,2594.0,5225.0,38.7086469,-104.6990296,NaN,2,Sabin Middle School,NaN,NaN,2
6182630,357000.0,2021-03-26,251 S Golfwood DR,81007,2668.0,16500.0,38.3287617,-104.769072,NaN,2,Russell Middle School,NaN,NaN,2
6172201,360000.0,2021-03-24,1307 Chaco CR,80910,2264.0,8950.0,38.812683,-104.7714878,NaN,0,Russell Middle School,NaN,NaN,2
2271089,360000.0,2021-03-26,7922 Calamint CT,80817,1746.0,11665.0,38.7160135,-104.69091999999999,NaN,2,NaN,NaN,NaN,3
3987128,360000.0,2021-03-23,203 Tidi RD,80816,1612.0,29620.8,38.9167599,-105.22960559999999,NaN,NaN,NaN,NaN,NaN,NaN
6004260,360000.0,2021-03-15,7715 Cruzer HT,80831,1974.0,4157.0,38.94304,-104.614488,NaN,0,Holmes Middle School,NaN,NaN,3
1272144,360000.0,2021-03-17,5775 Tomah DR,80918,1440.0,9600.0,38.9152992,-104.7837498,NaN,4,Skyview Middle School,NaN,NaN,2
