MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq Ft,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank,dollar/sqft,Walk Score
5952945,325000.0,2021-01-07,785 Hubbell DR,80911,2489.0,8193.0,38.7457106,-104.7274392,Harrison High School,,Holmes Middle School,2.0,Summit Elementary School,,130.5745279228606,15
1408309,325000.0,2021-01-04,2333 E Willamette ST,80909,1397.0,5250.0,38.8407273,-104.7861784,Mitchell High School,,Watson Junior High School,1.0,Rocky Mountain Classical Academy,,232.64137437365784,60
9504168,325000.0,2021-01-04,5345 Del Paz DR,80918,1600.0,8900.0,38.9081369,-104.7714878,,,Sabin Middle School,2.0,Belle Creek Charter School,,203.125,72
9675815,325000.0,2021-01-08,911 Raymond PL,80905,1786.0,6030.0,38.8466931,-104.8325339,,,Jack Swigert Aerospace Academy,2.0,Wilson Elementary School,,181.97088465845465,23
3851439,325000.0,2021-01-07,1326 Shasta DR,80910,1697.0,6800.0,38.8124842,-104.7711687,,,Fox Meadow Middle School,,Ridgeview Elementary School,,191.51443724219212,37
6982741,336900.0,2021-01-05,5506 Prairie Wheat VW,80917,2700.0,3861.0,38.878587,-104.7248943,,,Jack Swigert Aerospace Academy,1.0,Mountain Song Community School,,124.77777777777777,63
6291115,340000.0,2021-01-07,10625 Double D RD,80817,1682.0,22050.0,38.6773687,-104.6660018,,,Janitell Junior High School,2.0,Academy For Advanced And Creative Learning,,202.14030915576694,0
9545704,340000.0,2021-01-04,7812 Tango LN,80923,1558.0,3055.0,38.9131882,-104.6839953,,,Watson Junior High School,3.0,Talbott Steam Innovation School,,218.22849807445442,2
8340139,345000.0,2021-01-06,7911 Wagonwood PL,80908,1908.0,5248.98,38.9469197,-104.6855577,,3.0,Galileo School Of Math And Science,3.0,Carver Elementary School,,180.8176100628931,0
1286932,346500.0,2021-01-04,2319 Woodpark DR,80951,1431.0,5000.0,38.8660617,-104.6685982,,2.0,Russell Middle School,3.0,Henry Elementary School,,242.13836477987422,5
8557480,350000.0,2021-01-05,5327 Standard DR,80922,2232.0,5213.0,38.9091156,-104.687731,,2.0,North Middle School,3.0,Oak Creek Elementary School,,156.8100358422939,11
1218528,351500.0,2021-01-04,5722 Cassina DR,80923,1708.0,3486.0,38.9144983,-104.6846787,Vista Ridge High School,3.0,Carmel Middle School,3.0,Henry Elementary School,,205.79625292740047,2
2788652,352000.0,2021-01-05,1703 Alexander LN,80909,2146.0,7948.0,38.8570161,-104.78571,Power Technical Early College,1.0,,1.0,,,164.02609506057783,43
8216690,354000.0,2021-01-08,2005 E Flintlock TE,80920,2428.0,9017.0,38.9445397,-104.7888099,Sand Creek High School,2.0,Sabin Middle School,3.0,,,145.7990115321252,55
3903010,360000.0,2021-01-07,10904 Quincy Marr DR,80831,1602.0,11762.0,38.93494829999999,-104.6245483,Vista Ridge High School,0.0,Fountain Middle School,3.0,,,224.7191011235955,6
1465879,360000.0,2021-01-08,6012 John Muir TR,80927,1932.0,3190.0,38.927127,-104.659456,Achieve Online,3.0,Skyview Middle School,3.0,,,186.33540372670808,0
1223014,360000.0,2021-01-05,590 Crosstrail DR,80906,1782.0,12434.0,38.7807061,-104.8168593,Aspen Valley Campus,2.0,Skyview Middle School,2.0,,,202.02020202020202,57
5223679,360000.0,2021-01-05,3145 Cortina DR,80918,1753.0,7665.0,38.911533,-104.7692999,Patriot High School,2.0,Horizon Middle School,2.0,,,205.3622361665716,53
3818839,360000.0,2021-01-04,3939 Ranch Bluff CT,80922,2145.0,7327.0,38.8877338,-104.6932093,Vista Ridge High School,2.0,Skyview Middle School,3.0,,4.0,167.83216783216784,14
8887948,360500.0,2021-01-05,1321 Eagle View DR,80909,2540.0,6850.0,38.8520396,-104.786823,Harrison High School,1.0,Skyview Middle School,1.0,,4.0,141.9291338582677,43
8973748,361000.0,2021-01-07,719 W Kiowa ST,80905,1592.0,6519.0,38.8353262,-104.8382339,Doherty High School,3.0,Galileo School Of Math And Science,3.0,,3.0,226.75879396984925,63
4321291,362000.0,2021-01-05,1428 N Prospect ST,80907,756.0,9195.0,38.85458879999999,-104.8097813,Sand Creek High School,1.0,Mountain Ridge Middle School,2.0,,3.0,478.83597883597884,41
